Nome,Ruolo,Squadra,Prezzo consigliato,Motivazione
Alex Meret,Portiere,Napoli,30,Titolare in squadra campione; buone chance di clean sheet
Yann Sommer,Portiere,Inter,28,Continuità e voti solidi
Michele Di Gregorio,Portiere,Juventus,25,Nuovo titolare Juventus dopo l'arrivo; buon valore per media voto
Marco Carnesecchi,Portiere,Atalanta,10,Parate e potenziale bonus a prezzo contenuto
Portiere Como,Portiere,Como,4,Scommessa a basso costo; upside clean sheet
Alessandro Bastoni,Difensore,Inter,30,Centrale moderno che partecipa alla costruzione e talvolta bonus
Giovanni Di Lorenzo,Difensore,Napoli,25,Titolare affidabile con possibilità di bonus
Federico Dimarco,Difensore,Inter,22,Calci piazzati e assist
Juan Miranda,Difensore,Bologna,22,Terzino offensivo di esperienza
Amir Rrahmani,Difensore,Napoli,18,Centrale titolare utile per modificatore
Gleison Bremer,Difensore,Juventus,12,Solido e costante; buon rapporto qualità/prezzo
Terzino Como,Difensore,Como,6,Scommessa: spinta offensiva a prezzo basso
Giovane difensore neopromossa,Difensore,Neopromossa,4,Scommessa con potenziale rialzo se diventa titolare
Difensore titolare media classifica,Difensore,MediaClassifica,8,Profilo solido con titolarità garantita
Kevin De Bruyne,Centrocampista,Napoli,80,Primo obiettivo a centrocampo: assis - calci piazzati e bonus
Teun Koopmeiners,Centrocampista,Juventus,40,Rigorista/incursore: buona produzione gol+assist
Nicolò Barella,Centrocampista,Inter,30,Inserimenti e bonus costanti
Piotr Zieliński,Centrocampista,Napoli,28,Qualità offensiva e tiri da fuori
Strefezza,Centrocampista,Como,18,Rivelazione offensiva: assist e gol possibili
Gaetano,Centrocampista,SquadraMedia,10,Scommessa con upside se titolare
Rigorista trequartista,Centrocampista,SquadraMedia,12,Profilo utile per bonus su rigori/piazzati
Mediano inserimenti,Centrocampista,SquadraMedia,8,Profilo solido e basso costo
Giovane prospettiva,Centrocampista,BigClub,6,Scommessa con potenziale sorpresa
Mateo Retegui,Attaccante,Atalanta,95,Capocannoniere: prima scelta assoluta in attacco
Victor Osimhen,Attaccante,Napoli,85,Grande finalizzatore; con De Bruyne ancora più pericoloso
Khvicha Kvaratskhelia,Attaccante,Napoli,70,Qualità offensiva e grande creatività
Lautaro Martínez,Attaccante,Inter,55,Continuità realizzativa
Dusan Vlahović,Attaccante,Juventus,45,Titolare e potenziale rigorista
Christopher Nkunku,Attaccante,Milan,40,Gol+assist: buon rapporto prezzo/forma
Moise Kean,Attaccante,Fiorentina,30,Bomber da bonus; ottimo rapporto qualità/prezzo
